Ticker,Company Name,HQ City,HQ State/Province,HQ Country,ESG Risk Score,ESG Risk Score Level,ESG Risk Score Percentile,Environment Risk Score,Social Risk Score,Governance Risk Score,Controversy Level Risk Text,2019 Performance,Market Cap,Exchange,CEO,Logo Image URL,Website URL,Industry,Sector,Company Description,Grouping
MXIM,Maxim Integrated Products Inc.,San jose,California,United states of america,24,Medium,32nd percentile,9.4,7.2,7.2,,20.96361849,16800000000,Nasdaq Global Select,Tunc Doluca,https://financialmodelingprep.com/images-New-jpg/MXIM.jpg,http://www.maximintegrated.com,Semiconductors,Technology,"Maxim Integrated Products Inc designs, develops, manufactures and markets a range of linear and mixed-signal integrated circuits, commonly referred to as analog circuits, for number of customers in diverse geographical locations.",4
NSC,Norfolk Southern Corporation,Norfolk,Virginia,United states of america,24,Medium,34th percentile,8.9,11.8,3.7,Moderate,29.81810887,55900000000,New York Stock Exchange,James A. Squires,https://financialmodelingprep.com/images-New-jpg/NSC.jpg,http://www.nscorp.com,Transportation & Logistics,Industrials,"Norfolk Southern Corp conducts rail transportation business. It transports raw materials, intermediate products, and finished goods in the United States.",4
NXPI,NXP Semiconductors N.V.,Eindhoven,Noord-brabant,Netherlands,24,Medium,33rd percentile,9.2,7,7.9,Low,73.66266376,36800000000,Nasdaq Global Select,Richard L. Clemmer,https://financialmodelingprep.com/images-New-jpg/NXPI.jpg,http://www.nxp.com,Semiconductors,Technology,"NXP Semiconductors NV is a semiconductor company. It mainly provides high-performance mixed signal and standard product solutions for automotive, identification, wireless infrastructure, industrial, mobile, consumer and computing applications.",4
SLB,Schlumberger N.V.,Houston,Texas,United states of america,24,Medium,32nd percentile,9.7,6.6,7.4,Significant,11.41906874,47100000000,New York Stock Exchange,Paal Kibsgaard,https://financialmodelingprep.com/images-New-jpg/SLB.jpg,http://www.slb.com,Oil & Gas - Services,Energy,"Schlumberger Ltd is a supplier of products and services to the oil and gas industry. It provides technology for reservoir characterization, drilling, production, and processing to the oil and gas industry.",4
ST,Sensata Technologies Holding N.V.,Swindon,Wiltshire,United kingdom,24,Medium,34th percentile,6.8,10.5,7.1,,20.1382694,7730000000,New York Stock Exchange,Martha N Sullivan,https://financialmodelingprep.com/images-New-jpg/ST.jpg,http://www.sensata.com,Computer Hardware,Technology,"Sensata Technologies Holding N.V. is an industrial technology company. It produces sensors and controls for applications in automotive systems, thermal circuit breakers in aircraft and bimetal current and temperature control devices in electric motors.",4
MO,Altria Group Inc.,Richmond,Virginia,United states of america,25,Medium,36th percentile,6.3,12.4,6.3,Significant,1.052844705,89700000000,New York Stock Exchange,Martin J. Barrington,https://financialmodelingprep.com/images-New-jpg/MO.jpg,http://www.altria.com,Tobacco Products,Consumer Defensive,"Altria Group Inc along with its subsidiaries is engaged in the manufacture and sale of cigarettes, machine-made large cigars, pipe tobacco, smokeless tobacco products and wine.",4
CHD,Church & Dwight Company Inc.,Ewing,New jersey,United states of america,25,Medium,38th percentile,8.9,8.6,8,Moderate,6.979927007,17900000000,New York Stock Exchange,Matthew T. Farrell,https://financialmodelingprep.com/images-New-jpg/CHD.jpg,http://www.churchdwight.com,Consumer Packaged Goods,Consumer Defensive,"Church & Dwight Co Inc is engaged in the household products industry. It manufactures and markets personal care products under brands like Oxiclean, Spinbrush, First Response and Trojan.",4
GNTX,Gentex Corporation,Zeeland,Michigan,United states of america,25,Medium,35th percentile,6.7,10.5,7.5,,43.39435923,7830000000,Nasdaq Global Select,Steve Downing,https://financialmodelingprep.com/images-New-jpg/GNTX.jpg,http://www.gentex.com,Autos,Consumer Cyclical,"Gentex Corp designs and manufactures automatic-dimming rearview mirrors and electronics for the automotive industry, dimmable aircraft windows for the aviation industry, and commercial smoke alarms and signaling devices for the fire protection industry.",4
IR,Ingersoll-Rand plc (Ireland),Swords,Dublin,Ireland; republic of,25,Medium,37th percentile,6.8,11.7,6.7,Moderate,45.69768716,32200000000,New York Stock Exchange,Michael W. Lamach,https://financialmodelingprep.com/images-New-jpg/IR.jpg,http://www.ingersollrand.com,Industrial Products,Industrials,"Ingersoll-Rand PLC is a diversified company. It provides products, services and solutions to enhance the quality and comfort of air in homes and buildings, transport and protect food and perishables, and increase industrial productivity and efficiency.",4
JD,JD.com Inc.,Beijing,Beijing,China,25,Medium,36th percentile,7.3,8.8,8.9,Moderate,68.32298137,56200000000,Nasdaq Global Select,Qiangdong Richard Liu,https://financialmodelingprep.com/images-New-jpg/JD.jpg,http://www.jd.com,Online Media,Technology,JD.com Inc is an online direct sales company in China. It acquires products from suppliers and sells them directly to its customers through its website and mobile applications.,4
MAR,Marriott International,Bethesda,Maryland,United states of america,25,Medium,37th percentile,9.9,10.8,4.5,Significant,39.48968312,46900000000,Nasdaq Global Select,Arne M. Sorenson,https://financialmodelingprep.com/images-New-jpg/MAR.jpg,http://www.marriott.com,Travel & Leisure,Consumer Cyclical,"Marriott International Inc is an operator, franchisor and licensor of hotels and timeshare properties under different brand names. It also operates and develops residential properties and provides services to home/condominium owner associations.",4
NEM,Newmont Mining Corporation,Greenwood village,Colorado,United states of america,25,Medium,37th percentile,10.4,9.1,5.6,Significant,25.3968254,36900000000,New York Stock Exchange,Gary J. Goldberg,https://financialmodelingprep.com/images-New-jpg/NEM.jpg,http://www.newmont.com,Metals & Mining,Basic Materials,"Newmont Mining Corp is engaged in the production of gold in the United States, Australia, Peru, Ghana and Suriname. It is also engaged in the production of copper, principally through Boddington in Australia and Phoenix in the United States.",4
PG,Procter & Gamble Company (The),Cincinnati,Ohio,United states of america,25,Medium,36th percentile,8.4,8.6,7.9,Significant,35.87902524,3.11E+11,New York Stock Exchange,David S. Taylor,https://financialmodelingprep.com/images-New-jpg/PG.jpg,http://www.pg.com,Consumer Packaged Goods,Consumer Defensive,"Procter & Gamble Co is a consumer goods company. The firm markets its products internationally through various channels which include mass merchandisers, grocery stores, membership club stores, drug stores, and department stores.",4
WBC,Wabco Holdings Inc.,Bern,Bern,Switzerland,25,Medium,36th percentile,5.5,11.7,7.8,Moderate,26.23439538,6960000000,New York Stock Exchange,Jacques Esculier,https://financialmodelingprep.com/images-New-jpg/WBC.jpg,http://www.wabco-auto.com,Autos,Consumer Cyclical,"WABCO Holdings Inc and its subsidiaries engineers, develops, manufactures and sells integrated systems controlling braking, stability, suspension and transmission automation as well as air compression and processing for commercial vehicles.",4
ADI,Analog Devices Inc.,Norwood,Massachusetts,United states of america,26,Medium,39th percentile,10.5,7.7,7.8,,38.45974601,41500000000,Nasdaq Global Select,Vincent T. Roche,https://financialmodelingprep.com/images-New-jpg/ADI.jpg,http://www.analog.com,Semiconductors,Technology,"Analog Devices Inc is engaged in the semiconductor industry. Its business involves designing, manufacturing and marketing of high-performance analog, mixed-signal and digital signal processing integrated circuits used in all types of electronic equipment.",4
AVGO,Broadcom Limited,San jose,California,United states of america,26,Medium,39th percentile,9.1,8.3,8.6,Significant,24.28032091,1.25E+11,Nasdaq Global Select,Hock E. Tan,https://financialmodelingprep.com/images-New-jpg/AVGO.jpg,http://www.broadcom.com,Semiconductors,Technology,"Broadcom Ltd is engaged in designing, developing and supplying analog and digital semiconductor connectivity solutions. Its product portfolio serves wired infrastructure, wireless communications, enterprise storage and industrial and other end markets.",4
CTAS,Cintas Corporation,Cincinnati,Ohio,United states of america,26,Medium,38th percentile,5.5,12.4,7.6,Moderate,60.17620096,29400000000,Nasdaq Global Select,Scott D. Farmer,https://financialmodelingprep.com/images-New-jpg/CTAS.jpg,http://www.cintas.com,Retail - Apparel & Specialty,Consumer Cyclical,"Cintas Corp is a provider of corporate identity uniforms. It products include rental and sale of entrance mats, mops, shop towels, and restroom supplies. The company also offers safety supplies, fire-suppression systems maintenance and others.",4
KO,Coca-Cola Company (The),Atlanta,Georgia,United states of america,26,Medium,40th percentile,9.2,11.5,5.4,Significant,16.89545935,2.52E+11,New York Stock Exchange,James Robert Quincey,https://financialmodelingprep.com/images-New-jpg/KO.jpg,http://www.coca-colacompany.com,Beverages - Non-Alcoholic,Consumer Defensive,"Coca-Cola Co is nonalcoholic beverage company which manufactures a variety of carbonated and noncarbonated brands, including Coca-Cola, Diet Coke, Fanta, Sprite, Minute Maid, Powerade, and Dasani.",4
DAL,Delta Air Lines Inc.,Atlanta,Georgia,United states of america,26,Medium,39th percentile,8.7,11.8,5.3,Moderate,17.19438878,36900000000,New York Stock Exchange,Edward H. Bastian,https://financialmodelingprep.com/images-New-jpg/DAL.jpg,http://www.delta.com,Airlines,Industrials,Delta Air Lines Inc provides scheduled air transportation for passengers and cargo throughout the United States and across the world.,4
ENB,Enbridge Inc,Calgary,Alberta,Canada,26,Medium,40th percentile,11.3,10.3,4.4,Significant,27.96010296,83800000000,New York Stock Exchange,Al Monaco,https://financialmodelingprep.com/images-New-jpg/ENB.jpg,http://www.enbridge.com,Oil & Gas - Midstream,Energy,Enbridge Inc serves the oil & gas industry. Its key activity involves gathering and transportation of crude oil and natural gas.,4
EXC,Exelon Corporation,Chicago,Illinois,United states of america,26,Medium,40th percentile,10.1,9.3,6.5,Moderate,1.086474501,46700000000,New York Stock Exchange,Christopher M. Crane,https://financialmodelingprep.com/images-New-jpg/EXC.jpg,http://www.exeloncorp.com,Utilities - Regulated,Utilities,Exelon Corp is a power retailer engaged in the utilities sector of United States. The company involves in the power generation and transmission activities. The Generation segment generates maximum revenue for the company.,4
RACE,Ferrari N.V.,Maranello,Modena,Italy,26,Medium,40th percentile,6.1,11.5,8.3,Low,66.47224457,43000000000,New York Stock Exchange,Sergio Marchionne,https://financialmodelingprep.com/images-New-jpg/RACE.jpg,http://www.ferrari.com,Autos,Consumer Cyclical,"Ferrari NV is a designer and manufacturer of luxury performance sports cars under the brand name of Ferrari. Its sports cars portfolio includes F12berlinetta, FF, Ferrari 488 GTB, 488 Spider, 458 Speciale, Ferrari California, among others.",4
HP,Helmerich & Payne Inc.,Tulsa,Oklahoma,United states of america,26,Medium,41st percentile,8.3,9,9,Low,-5.235711306,4450000000,New York Stock Exchange,John W. Lindsay,https://financialmodelingprep.com/images-New-jpg/HP.jpg,http://www.hpinc.com,Oil & Gas - Drilling,Energy,"Helmerich & Payne Inc is engaged in contract drilling of oil and gas wells for oil and gas exploration and production companies. Its business comprises of three reportable segments, U.S. Land, Offshore and International Land.",4
MDLZ,Mondelez International Inc.,Deerfield,Illinois,United states of america,26,Medium,40th percentile,9.5,10.9,5.7,Moderate,37.5968024,84700000000,Nasdaq Global Select,Dirk Van de Put,https://financialmodelingprep.com/images-New-jpg/MDLZ.jpg,http://www.mondelezinternational.com,Consumer Packaged Goods,Consumer Defensive,"Mondelez International Inc is associated with the confectionery industry. It manufactures and markets snack food and beverage products like biscuits, chocolate, gum and candy, and beverages.The sale of biscuits generate maximum revenue for the company.",4
NFLX,Netflix Inc.,Los gatos,California,United states of america,26,Medium,41st percentile,7.3,10,9.1,Moderate,20.88844056,1.52E+11,Nasdaq Global Select,Reed Hastings,https://financialmodelingprep.com/images-New-jpg/NFLX.jpg,http://www.netflix.com,Communication Services,Communication Services,"Netflix Inc provides multimedia content through the internet. It provides a subscription based platform for television shows, movies and original series.",4
EL,Estee Lauder Companies Inc. (The),New york city,New york,United states of america,27,Medium,45th percentile,9,9.4,9.1,Moderate,58.754804,71500000000,New York Stock Exchange,Fabrizio Freda,https://financialmodelingprep.com/images-New-jpg/EL.jpg,http://www.elcompanies.com,Consumer Packaged Goods,Consumer Defensive,"The Estee Lauder Companies Inc is a beauty products manufacturer providing Skin care, Makeup, Fragrance and Hair care services.",4
FTS,Fortis Inc.,St. johns,Newfoundland and labrador,Canada,27,Medium,43rd percentile,11.1,10.2,5.7,Moderate,24.46043165,20300000000,New York Stock Exchange,Barry Perry,https://financialmodelingprep.com/images-New-jpg/FTS.jpg,http://www.fortisinc.com,Utilities - Regulated,Utilities,Fortis Inc is an electric and gas utility holding company. The company's regulated utilities serves customers across Canada and in the United States and the Caribbean.,4
LII,Lennox International Inc.,Richardson,Texas,United states of america,27,Medium,42nd percentile,9.4,10.4,6.8,Low,11.47308782,9090000000,New York Stock Exchange,Todd M. Bluedorn,https://financialmodelingprep.com/images-New-jpg/LII.jpg,http://www.lennoxinternational.com,Industrial Products,Industrials,"Lennox International Inc through its subsidiaries is a provider of climate control solutions. It designs, manufactures and markets products for heating, ventilation, air conditioning and refrigeration markets.",4
QSR,Restaurant Brands International Inc.,Toronto,Ontario,Canada,27,Medium,42nd percentile,6.6,12.1,8,Significant,21.93116635,18500000000,New York Stock Exchange,Daniel Schwartz,https://financialmodelingprep.com/images-New-jpg/QSR.jpg,http://www.rbi.com,Restaurants,Consumer Cyclical,"Restaurant Brands International Inc is a quick service restaurant company. It owns and operates restaurants brands include Burger King, Tim Hortons, and Popeyes Louisiana Kitchen.",4
AYI,Acuity Brands Inc (Holding Company),Atlanta,Georgia,United states of america,28,Medium,46th percentile,8.5,11.3,8,Moderate,20.05219661,4820000000,New York Stock Exchange,Vernon J. Nagel,https://financialmodelingprep.com/images-New-jpg/AYI.jpg,http://www.acuitybrands.com,Computer Hardware,Technology,"Acuity Brands Inc through its subsidiaries provides lighting and building management solutions and services for commercial, institutional, industrial, and residential applications. Its products include luminaires, lighting controls and components etc.",4
FCAU,Fiat Chrysler Automobiles N.V.,London,,United kingdom,29,Medium,49th percentile,9.7,9,10,Significant,1.590594744,26200000000,New York Stock Exchange,,https://financialmodelingprep.com/images-New-jpg/FCAU.jpg,http://www.fcagroup.com,Autos,Consumer Cyclical,"Fiat Chrysler Automobiles NV engages in the designing, engineering, manufacturing and selling of passenger cars, light commercial vehicles, components and production systems worldwide. It manufactures automotive parts, engines, and industrial robots.",4
F,Ford Motor Company,Dearborn,Michigan,United states of america,30,Medium,54th percentile,9.2,10.2,10.4,Significant,21.56862745,35000000000,New York Stock Exchange,James P. Hackett,https://financialmodelingprep.com/images-New-jpg/F.jpg,http://www.ford.com,Autos,Consumer Cyclical,"Ford Motor Co manufactures, markets, and services Ford cars, trucks, sport utility vehicles, electronic vehicles, and Lincoln luxury vehicles. It also provides financial services through Ford Motor Credit Company.",4
RIG,Transocean Ltd (Switzerland),Steinhausen,Zug,Switzerland,31,High,57th percentile,10.6,10.6,9.6,Significant,-0.864553314,2900000000,New York Stock Exchange,Jeremy D. Thigpen,https://financialmodelingprep.com/images-New-jpg/RIG.jpg,http://www.deepwater.com,Oil & Gas - Drilling,Energy,"Transocean Ltd is an international provider of offshore contract drilling services for oil and gas wells. Its business activities include contracting drilling rigs, related equipment and work crews to drill oil and gas wells.",4
